Nome,Time,Colegio,Jogos Totais,Tentativas de Rush,Touchdowns com Rush
D'Andre Swift,Detroit Lions,Georgia,26,265,13
Jamaal Williams,Detroit Lions,BYU,73,653,13
Cordarrelle Patterson,Atlanta Falcons,Tennessee,143,320,14
Mark Ingram,New Orleans Saints,Alabama,146,1755,64
Saquon Barkley,New York Giants,Penn St.,44,659,19
James Robinson,Jacksonville Jaguars,Butler (KS),28,404,15
Aaron Jones,Green Bay Packers,Texas-El Paso,69,822,41
Chuba Hubbard,Carolina Panthers,Oklahoma St.,17,172,5
Ezekiel Elliott,Dallas Cowboys,Ohio St.,88,1650,56
Dalvin Cook,Minnesota Vikings,Florida St.,56,1018,39
Antonio Gibson ,Washington Commanders,Memphis,30,428,18
Joe Mixon,Cincinnati Bengals,Oklahoma,66,1104,33
Najee Harris,Pittsburgh Steelers,Alabama,17,307,7
Alvin Kamara,New Orleans Saints,Alabama,73,912,47
